true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename,gt_filename,image_id
219569,359,3199,39017,0.9164298297122725,0.9563927836062359,12.529964447021484,9.433980941772461,ISIC_0000327_mask.png,ISIC_0000327.png,ISIC_0000327
195893,351,12571,53329,0.8049538874884907,0.8919384512460278,43.931766510009766,35.25970458984375,ISIC_0010055_mask.png,ISIC_0010055.png,ISIC_0010055
197572,2544,204,61824,0.9574428544880134,0.978258805658407,9.0,6.0,ISIC_0000482_mask.png,ISIC_0000482.png,ISIC_0000482
42956,2571,8468,208149,0.9496368414329251,0.9741679283563089,135.0,43.55527877807617,ISIC_0010037_mask.png,ISIC_0010037.png,ISIC_0010037
60512,614,31264,169754,0.8419000952229805,0.9141647773475575,107.0,73.07388305664062,ISIC_0000289_mask.png,ISIC_0000289.png,ISIC_0000289
73181,8311,131,180521,0.9553245873530797,0.9771519199748839,253.01779174804688,99.89990234375,ISIC_0010202_mask.png,ISIC_0010202.png,ISIC_0010202
172128,47683,0,42333,0.470283060789193,0.6397177160386553,128.7982940673828,104.2808609008789,ISIC_0011338_mask.png,ISIC_0011338.png,ISIC_0011338
211916,0,10692,39536,0.7871306840805925,0.8808876609776748,25.806976318359375,21.40093421936035,ISIC_0010013_mask.png,ISIC_0010013.png,ISIC_0010013
219364,8498,332,33950,0.7935951379149135,0.8849211520917503,25.05992889404297,18.601076126098633,ISIC_0011162_mask.png,ISIC_0011162.png,ISIC_0011162
169662,78,15938,76466,0.8268203542310936,0.9052016004924592,31.38471031188965,24.75883674621582,ISIC_0010238_mask.png,ISIC_0010238.png,ISIC_0010238
102024,1738,5048,153334,0.9576192855358481,0.9783508904017815,75.0,20.0,ISIC_0009928_mask.png,ISIC_0009928.png,ISIC_0009928
252390,1898,58,7798,0.7994668853803568,0.8885597082953509,17.464248657226562,10.0,ISIC_0001181_mask.png,ISIC_0001181.png,ISIC_0001181
196925,1284,11315,52620,0.8068200984375719,0.8930829351912355,61.29437255859375,52.21685028076172,ISIC_0010347_mask.png,ISIC_0010347.png,ISIC_0010347
72016,1926,9936,178266,0.9376104519060843,0.967800778514308,167.0,87.800048828125,ISIC_0009970_mask.png,ISIC_0009970.png,ISIC_0009970
204303,8640,1,49200,0.8506077004201172,0.9192739230762045,31.78049659729004,19.0,ISIC_0000508_mask.png,ISIC_0000508.png,ISIC_0000508
247066,10,3606,11462,0.7601803952778883,0.8637528259231348,16.124515533447266,11.704699516296387,ISIC_0009869_mask.png,ISIC_0009869.png,ISIC_0009869
239522,335,1342,20945,0.9258686234638848,0.9615075630637868,10.198039054870605,6.4031243324279785,ISIC_0010061_mask.png,ISIC_0010061.png,ISIC_0010061
149064,378,14504,98198,0.8683940573045631,0.9295619988829883,30.01666259765625,23.706539154052734,ISIC_0011104_mask.png,ISIC_0011104.png,ISIC_0011104
214377,646,5127,41994,0.8791425042393284,0.9356847628702889,26.4007568359375,19.780014038085938,ISIC_0011204_mask.png,ISIC_0011204.png,ISIC_0011204
245846,485,2234,13579,0.8331697140753467,0.9089935401814104,19.02629852294922,12.369317054748535,ISIC_0009083_mask.png,ISIC_0009083.png,ISIC_0009083
212559,798,1633,47154,0.9509730765352425,0.9748705279153186,15.0,7.0,ISIC_0010229_mask.png,ISIC_0010229.png,ISIC_0010229
244440,97,2440,15167,0.8566990510619069,0.9228195065559308,13.34166431427002,10.29563045501709,ISIC_0010378_mask.png,ISIC_0010378.png,ISIC_0010378
223968,32063,0,6113,0.16012678122380553,0.27605048657680237,123.9758071899414,114.59494018554688,ISIC_0009872_mask.png,ISIC_0009872.png,ISIC_0009872
179071,8334,65,74674,0.8988961515775282,0.9467565151793695,24.041629791259766,15.0,ISIC_0000197_mask.png,ISIC_0000197.png,ISIC_0000197
180018,8389,1134,72603,0.8840440299052675,0.9384536835370227,26.62705421447754,20.615528106689453,ISIC_0009879_mask.png,ISIC_0009879.png,ISIC_0009879
253591,1037,89,7427,0.8683502864491991,0.9295369211514393,8.062257766723633,5.830951690673828,ISIC_0010444_mask.png,ISIC_0010444.png,ISIC_0010444
225611,665,3525,32343,0.8853091725289465,0.9391660375166967,15.132745742797852,12.0,ISIC_0009201_mask.png,ISIC_0009201.png,ISIC_0009201
238860,97,1956,21231,0.9118278646280708,0.953880714365944,12.083045959472656,8.0,ISIC_0000071_mask.png,ISIC_0000071.png,ISIC_0000071
245075,310,429,16330,0.9567051379694183,0.9778735890296116,6.0,3.0,ISIC_0010474_mask.png,ISIC_0010474.png,ISIC_0010474
192089,17,4023,66015,0.942331025622725,0.9703093995737488,12.806248664855957,7.6157732009887695,ISIC_0009956_mask.png,ISIC_0009956.png,ISIC_0009956
253163,873,117,7991,0.889767286493709,0.9416686306858355,8.0,6.0,ISIC_0009564_mask.png,ISIC_0009564.png,ISIC_0009564
