true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename
176299,22821,5,63019,0.7341021608713378,0.8466654127257094,53.00943374633789,35.35533905029297,ISIC_0011172.png
144489,0,21479,96176,0.8174408227444647,0.8995515149814574,39.293766021728516,31.890438079833984,ISIC_0000022.png
6164,1931,6812,247237,0.9658449878896789,0.9826257856948394,191.0,143.0,ISIC_0009990.png
214378,6370,38,41358,0.8658459992463259,0.928100175037027,20.248456954956055,16.970561981201172,ISIC_0000138.png
199489,0,14959,47696,0.7612481047003431,0.8644416452954663,39.458839416503906,31.0,ISIC_0009880.png
235293,158,3347,23346,0.8694648244013259,0.9301751100663386,16.76305389404297,13.03840446472168,ISIC_0000388.png
259280,131,192,2541,0.8872206703910615,0.9402405180388529,5.385164737701416,3.0,ISIC_0000125.png
245221,164,555,16204,0.9575134432429239,0.9782956500739578,5.0,3.0,ISIC_0010474.png
170701,2760,4515,84168,0.9204422427085726,0.9585732101064284,36.24913787841797,16.76305389404297,ISIC_0000533.png
73798,7694,282,180370,0.9576524056789101,0.9783681749639289,253.01779174804688,88.5,ISIC_0010202.png
150694,2394,3002,106054,0.9515836698070884,0.9751912608503752,26.07680892944336,11.704699516296387,ISIC_0000354.png
253739,184,373,7848,0.9337299226650803,0.9657294038023749,5.0,3.0,ISIC_0010255.png
247076,0,4060,11008,0.7305548181576852,0.8443012732014112,17.464248657226562,12.759254455566406,ISIC_0009869.png
213232,783,2688,45441,0.9290358194308145,0.9632126164509872,19.235383987426758,10.0,ISIC_0000257.png
253678,358,306,7802,0.9215686274509803,0.9591836734693877,6.0,4.0,ISIC_0009564.png
144036,245,23756,94107,0.796787685846852,0.8869024338524609,113.60017395019531,62.403526306152344,ISIC_0000476.png
68043,8315,725,185061,0.9534263089834674,0.9761579483176057,83.0,22.0,ISIC_0000160.png
224847,1104,609,35584,0.9540713730326836,0.9764959317243177,8.0,5.0,ISIC_0010092.png
150476,6,18852,92810,0.8311244044847226,0.9077749195512476,36.24913787841797,24.672821044921875,ISIC_0000037.png
38446,5556,5986,212156,0.9484036513513755,0.973518655329537,159.0,80.05622863769531,ISIC_0010041.png
42737,2790,7903,208714,0.9512640891129271,0.9750234162771739,135.0,46.010868072509766,ISIC_0010037.png
209665,1921,783,49775,0.9484746279464167,0.9735560467072193,9.219544410705566,5.385164737701416,ISIC_0000198.png
200892,0,22804,38448,0.6277019525893032,0.7712738214643932,54.5710563659668,47.0,ISIC_0010373.png
184266,1206,12086,64586,0.8293227869231362,0.9066992362982929,31.11269760131836,25.46957778930664,ISIC_0010346.png
232654,13,5490,23987,0.8133943709732112,0.897095947790639,22.472204208374023,16.124515533447266,ISIC_0011092.png
248853,195,2603,10493,0.7894816040929953,0.8823578876555668,24.0,15.211726188659668,ISIC_0003728.png
176137,2931,2391,80685,0.9381213157068611,0.9680728529263551,19.209373474121094,11.045360565185547,ISIC_0011336.png
50821,57,16859,194407,0.9199519219394008,0.958307248662904,73.06161499023438,23.11920738220215,ISIC_0000202.png
191652,5833,28,64631,0.9168558134256369,0.9566247048984999,17.69180679321289,10.770329475402832,ISIC_0000510.png
251210,0,2678,8256,0.7550759100054875,0.8604481500781657,21.0,16.09185791015625,ISIC_0001185.png
196434,3312,2222,60176,0.9157814640085223,0.9560395913763247,42.7551155090332,16.124515533447266,ISIC_0000527.png
209304,3900,200,48740,0.9224072672218017,0.9596377239614097,20.0,9.05538558959961,ISIC_0000027.png
156998,886,9370,94890,0.9024594373537748,0.948729228738827,34.01470184326172,25.435144424438477,ISIC_0009965.png
214365,1887,451,45441,0.9510663680696541,0.9749195451619824,8.9442720413208,6.0,ISIC_0000501.png
190834,7239,8830,55241,0.7746599354929182,0.8730235241128083,54.037025451660156,37.159786224365234,ISIC_0000487.png
72002,1940,9870,178332,0.9378885254178456,0.9679488919163903,167.0,86.0,ISIC_0009970.png
244516,21,2940,14667,0.8320285908781484,0.9083139804923362,14.142135620117188,10.896696090698242,ISIC_0010378.png
215690,0,13190,33264,0.7160632023076592,0.8345417597029529,37.121421813964844,29.068883895874023,ISIC_0009955.png
163849,115,21511,76669,0.7799888091968056,0.8763974303285247,51.6623649597168,41.30189514160156,ISIC_0010073.png
168637,3683,1091,88733,0.9489449987701456,0.9738037752414399,14.0,8.062257766723633,ISIC_0001131.png
244450,1654,142,15898,0.89849666553634,0.9465348892593475,12.806248664855957,7.6157732009887695,ISIC_0010009.png
94001,3828,11807,152508,0.9070136728855795,0.95123982148816,67.00746154785156,29.0,ISIC_0011122.png
251572,163,1500,8909,0.8426976920166478,0.9146347723422822,10.770329475402832,8.062257766723633,ISIC_0004346.png
254050,578,142,7374,0.911045218680504,0.9534522885958107,7.0,4.0,ISIC_0010444.png
225916,292,5028,30908,0.8531522579220493,0.9207578646329838,17.8885440826416,13.416407585144043,ISIC_0010216.png
157108,3323,652,101061,0.9621558322860734,0.9807129652542249,12.0,8.0,ISIC_0000101.png
245975,356,2617,13196,0.8161296307749397,0.8987570236676315,19.646883010864258,13.152946472167969,ISIC_0009083.png
250865,2268,15,8996,0.7975884386913733,0.8873982737361282,12.0,9.969849586486816,ISIC_0000132.png
201336,13649,24,47135,0.7751447178002895,0.8733312952206257,43.011627197265625,32.04679489135742,ISIC_0011148.png
213457,733,1311,46643,0.9580175406165917,0.9785586908633169,10.049875259399414,5.0,ISIC_0010606.png
